username,comment
tekarok007,@Paltiwest generasi muda males pilih mahfud karena dia ketika jd ketua MK menolak keras penghapusan SKB 2 mentri izin pembangunan tmpt ibadah yg bikin minoritas susah dpt izin bangun tmpt ibadah sampai detik ini bahkan sampai ibadah di rumah sendiri di bubarin krn g berizin
atinay_,@elrocheee @karnaen_OSD @dawiguna Minta dong data real yg tunjukin bahwa jumlah PENOLAKAN pembangunan rumah ibadah lebih besar dibanding yg diberi izin dan sudah berdiri. Copas link google doang ma anak sd juga bisa. Apalagi ttg hidup rukun umat beragama HAHAHA banyak
IDNTimesBanten,Izin Sudah Keluar Pembangunan Rumah Ibadah di Citra Maja Raya Dimulai https://t.co/GfEHajtck7
themorningtide,@firman__nurhuda @gus_munozz memang kenyataan begitu. ngapain nolak pembangunan rumah ibadah agama lain dan kenapa mui menolak penyederhanaan izin pendirian bangunan ibadah ?
MarthinTambuna3,@OliviaCath1540 @Antonius061 @prabowo @gibran_tweet Kalo sy sblmnya sdh lsg tanya ke 2 akun sblm mereka capres-cawapres skrg ini ttg sikapnya thdp : - Pembubaran ibadah dirumah (kebaktian keluarga syukuran dsbnya) - Segel pembangunan rumah ibadah non islam (walaupun sudah ada izin) Dan smpi skrg belum di respon
sithiaisyah93,@Kemenag_RI @YaqutCQoumas saat ini sedang menyusun peraturan mengenai izin pendirian rumah ibadah. Hal ini dilakukan sebagai respons terhadap penolakan yang sering terjadi dalam pembangunan rumah ibadah agama tertentu dan pembubaran paksa. https://t.co/FWdV9kq99n
IndraShazaa,@KhoirilAnwar_ @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @bengkeldodo @BANGSAygSUJUD @florieliciouss @yosephrosario_ @G0mb4k itu tuduhan kepada anies dijakarta tidak terbukti malah mempersatukan warga jakarta izin pembangunan rumah ibadah dipermudah tempat ibadah yg dulu susah dibangun dijaman anies bisa tuduhan2 sepeti itu ke anies cenderung fitnah yg ada
chester69248283,@islah_bahrawi Ibadah di rumah dibubarkan disuruh di tempat ibadah tapi begitu mau bangun rumah ibadah izinnya susah keluar begitu uda ada izin IMBnya didemo supaya pembangunan di stop. Gtu aja terus sampai kiamat. nanti kiamat jg dilarang sama mereka..
yesmar_banu,@detikcom Ibadah di rumah dibubarkan disuruh di tempat ibadah tapi begitu mau bangun rumah ibadah izinnya susah keluar begitu uda ada izin IMBnya didemo supaya pembangunan di stop. Gtu aja terus sampai kiamat.
PallakaGO,@adearmando61 Kalo begitu buat apa meminta pendapat warga jika warga hanya dijadikan tameng pembenaran untuk pemberian izin mending cabut skb menteri terkait pembangunan rumah ibadah.
havjoon,Benci politik identitas tpi masih memelihara sentimen tersebut ya ga akan habis. Tinggal tanya aja minoritas di JKT apakah mereka selama jamannya anies tertindas? Apakah izin pembangunan rumah ibadah mereka dipersulit di masa anies? Move on bitch
LuckyAbiP,@yadsupr Membantu penganut agama yang izin pembangunan rumah ibadahnya dipersulit masuk dalam program-program prioritas mereka. Mereka juga mendukung agar SKB 3 Menteri dicabut. SKB 3 Menteri mengatur persyaratan membangun rumah ibadah di Indonesia sampai sekarang.
Mupti6,@NovalAssegaf Agak susah mendapatkan izin pembangunan rumah ibadah (gereja/masjid/kelenteng) dilahan fasum yg disediakan development karena peruntukan fasum itu untuk taman atau lapang olahraga bersama kecuali dilahan fasos
BimasHinduRI,Halo Sobat Hindu! Kabar gembira! Umat Hindu dipastikan akan memiliki rumah ibadah di IKN Nusantara. Pada 7 Agustus 2023 telah dilakukan Maturpiuning dan Upacara Nuasen yang bertujuan untuk memohon izin kepada alam semesta agar proses pembangunan dilancarkan. https://t.co/SkT6InyttJ
KucingMVP,@PartaiSocmed @aniesbaswedan Kenyataan DKI dipimpin Anies bagus banget khusus transportasi umum dan trotoar mantap bgt apalagi kerukunan di DKI adem ayem aja sih bahkan gereja dpt izin byk bgt loh dan umat lainnya dipermudah izin pembangunan rumah ibadah
Buzzer_Dollar,Jokowi dituduh PKI Jokowi dituduh Kristen Jokowi dituduh Anti Islam Jokowi dituduh Kriminalisasi Ulama Jokowi bubarkan HTI dan FPI krg Nasionalis apa lagi bro? Izin pembangunan Rumah Ibadah itu wajar yg ngga wajar dipersulit izin rumah doa doang dipersekusi FKUBnya radikal
98garislurus,@Tita83079013 Ya gak tahu.. anu ennnng.. koq tanya saya ? Muslim yg mana takut dgn pembangunan Gereja ? Muslim di daerah mana? Di DKI Anies Baswedan sgt banyak menerbitkan surat izin pembangunan rumah ibadah tuh...
K0rbanNep0tisme,@nope_250897 @yo2thok Ini bukti bhw pemerintah itu menerapkan sistem keadilan stiap pembangunan rumah ibadah harus berdasarkan aturan dan izin imb ga peduli itu gereja mesjid atau apapun klw ga sesuai aturan yah ada konsekuensi nya.. https://t.co/7dGOrUiv5y
TiurWahyuni,@bobby_risakotta Sekarang izin pembangunan rumah ibadah rekomendasi dari @Kemenag_RI . CC. @YaqutCQoumas
AndreasNicko4,@gtobing2903 @jokowi @mohmahfudmd @YaqutCQoumas @titokarnavian_ @gibran_tweet @budimandjatmiko @ahriesonta @ListyoSigitP Indonesia ini mengakui 5 agama dan 1 aliran kepercayaan kepada Tuhan Yang Maha Esa. Jika ada umat beragama mau mengurus izin pembangunan rumah ibadah jangan dipersulit ini hak asasi WNI.
BGSTRYP,@SammiSoh Setau saya pembangunan rumah ibadah itu semestinya harus sudah mendapatkan support dan izin dari warga setempat. Pembangunan masjid di desa saja mesti dirembug warga setempat walaupun mayoritas penduduknya muslim. Tidak boleh kalo tanpa izin warga setempat.
inong911,@SangGuru2471 @gibran_tweet Warga yang nggak ngerti kalau tempat ibadah itu nggak perlu izin Pemda. Di mana saja orang boleh beribadah beda dengan pembangunan rumah ibadah yang harus ada izin.
arewhyenn,@seathoughts_ ijin apasi keknya susah banget kek izin pembangunan rumah ibadah
SINDOnews,Izin Pembangunan Rumah Ibadah Dipermudah Abdul Khaliq: Hak Beragama adalah HAM yang Harus Dijamin Negara https://t.co/TwBCL8dLL2 #PerindoUpdate #PartaiPerindo #Perindo #PerindoS16AP #PartaiPersatuanIndonesia #UntukIndonesiaSejahtera
FadliSultan2,@samurai_tenro @detikcom @detiksumut_ Itulah kadang kita protes saat ada penolakan pembangunan pembangunan mesjid di negara lain dimana muslim jd minoritas Tp kita di Indonesia yg mayoritas muslim agama lain juga merasa sulit mendirikan rumah ibadahnya... Mau ibadah KPD tuhan SJ perlu izin manusia
nath_dominic,@KrisyantoOni Gubernur ditempat ku juga ngasih izin pembangunan rumah ibadah bahkan agama lama pun ada. Logika dipake boleh cuma jngan memunafikkan diri
kakilangitimur,@KrisyantoOni Ditunggu program kerjanya klo terpilih akan memberikan izin pembangunan semua rumah ibadah yg nentang bisa berhadapan dg presiden.
mashidaing,@WhyouSm1Le @vincentrcrd gatau ya bakal diproses atau engga. setauku kami kaum minoritas ngurus izin pembangunan rumah ibadah aja sulit. apalagi mau demo kalo dihina?
raianrizaru,@KakGupron @lilaccountz Betul hormati pemeluk agama lain dengan membantu membuat izin pembangunan rumah ibadah atau minimal jangan ganggu yg lagi ibadah didalam rumah pribadi
slitenja,Paragraph 1 : harusnya pemerintah mendampingi kebijakan yg menyaratkan sekian banyak ttd warlok buat izin pembangunan rumah ibadah itu menyulitkan. Paragraph 2: itu mah tergantung tiap tongkrongan aja Paragraph 3: ya tiap agama menganggap agama yg paling benar jadi yaa wajar
HeangKadrun,@KrisyantoOni Munafikmu kebangetan. Muak ngliatmu jadinya. Anies produk politik identitas. Selama gubernur mencitrakan diri seakan nasionalis dgn memberi izin bbrp IMB Rumah ibadah nonis adalah utk merias diri utk 2024. Oya coba telusuri pembangunan masjid At Tabayyun Perumahan Meruya.
yaali71,@Dennysiregar7 Radikal bagi sebagian orang tanpa akal sehat itu adalah kalau Anies bisa menurunkan tarif air bersih bagi warga memberi izin pembangunan rumah ibadah yang sdh lama terkatung2 izinnya tanpa kejelasan memberi dana BOTI utk rumah ibadah semua agama di DKI.
galihckanigoro,@Colcolblend @AzzamIzzulhaq Eh goblok... Kalo izin ada sesuai SKB 3 menteri ttg pembangunan rumah ibadah gak bakal di ganggu... Lu ngetik dipikir dulu blok goblok
BuzzFeedYou,@OmJ_JeNggot Setelah jalan-jalan menuju Masjid dan Masjid di sekitar Cililitan di blokir oleh Yahudi tadi malam umat ini sholat di jalan di depan PGC Cililitan Padahal kalau umat lain beribadah di rumah di geruduk izin pembangunan runah ibadah di persulit beginilah di Konoha https://t.co/hBQeV5OCDf
efild4s,@tiengfengg @siscaagt88 @akuadalabapakmu @imamsyahid_ @TxtdariHI Bro prnh lihat masjid dibangun setengah jadi terus habis itu minta sumbangan di jalan untuk lanjutin pembangunan? Di lain sisi ada rumah ibadah lain yg dana pembangunannya sudah siap sampai jadi tp gak dapat izin. Terima fakta aja kl memang bangun masjid lebih mudah dapat izin
putrasolopan,@__AnakKolong Kapan pak @ridwankamil menyerahkan surat izin pembangunan rumah ibadah lain..mis Mesjid kuil atau kelenteng ? Masak cuma gereja ? Nanti ada yg iri !
rkriemas2045,menjelaskan permasalahan tertahannya perizinan pembangunan Kompleks Gereja Katolik Ibu Teresa bermula dari teknis pembelian tanah oleh panitia yang merupakan tanah komersil _site plan_ Lippo Cikarang. Sedangkan persyaratan untuk mengeluarkan izin rumah ibadah https://t.co/ugcRuioGSD
kristariyanto68,Gereja di Cikarang Bekasi Dapat Izin Ridwan Kamil: Bupati/Walikota agar Layani Pembangunan Rumah Ibadah https://t.co/SNheHOBdtU
GalangDepari,@KompasTV Tapi kok masih banyak izin pembangunan rumah ibadah dipersulit ya? Yang segel yang ditutup warga dan banyak kendala beribadah lainnya bagi umat minoritas.
,@_MbakSri_ Mantappp...kerennn pak Bupati Lumajang siap membantu &amp
iqbaljbg,@JinNonik @7Figureauthors @Supriya77456669 Beneran ada Islam non kaffah yang memberi izin pembangunan rumah ibadah lain bertiga yang sering aku dengar gak seperti itu deh sama aja semua Islam melarang pembangunan rumah ibadah lain kecuali ada minimal 40 pengikut.
BimaPrambudi4,Apa betul UAS mengatakan pejabat yg memberi izin pembangunan rumah ibadah non muslim dapat dosa jariah..? Ini udtad tidak pernah memberi pencerahan kepada umatnya...ustad provokator otak kotor.
Shaggy_Solo,@agent_pin @gibran_tweet Mbak... Apa ada yang pengajuan izin pembangunan rumah ibadah (selain masjid) di Kota Solo? Apa ada yang ditolak? Coba sampaikan di sini. Rasanya kok gak ada ya Mbak. Selama 2022 aja gak ada pengajuan izin gereja baru.
mitzuo,@Istanadaging @thomaspaulus_ @nalar_logis @Dennysiregar7 apanya yang betul?? kalo gampang dapat izin bikin gereja/vura/pura ngga bakalan ada berita tentang penolakan pembangunan rumah ibadah....ngga pernah baca berita?
rotitawarmesses,Orang Kristen gak relate ributin pembangunan rumah ibadah yang jelas-jelas udah berdiri megah dan mewah karena baru mau mulai membangun pun udah gak dapet izin.
sitititikoma,@scooteristanext @devvmays @salomo_shtg @cadimahide @txtdaribogor Pak itu cuman bbrp menit ibadah dlm rumah loh pemilik rumah dan tamunya skali doang pas hr natal. Serius mau dibandingkan dgn izin pembangunan rumah ibadah permanen yg akan dipakai ibadah 5x sehari selamanya???
,Saat ada permasalahan rumah ibadah kebanyakan akan menyederhanakan masalah dengan urus izin untuk rumah peribadatan. Nyatanya perizinan &amp
Tipiku_Rusak, Pembangunan rumah ibadah sudah ada aturannya dan kalau aturannya sudah ada sudah bisa dipenuhi tidak boleh ada larangan. Tapi kalau belum terpenuhi itu memang belum dapat izin. Jadi dia bisa (merayakan) di daerah yang lebih dekat.
_Haris_Srg,Saat ini umat Islam ingin terus dipojokkan dengan isu intoleran Radikal. Krnnya akan terus provokasi pemblowupan soal pembangunan rumah ibadah izin ibadah. Padahal sebenarnya soal izin etika bertetangga. Bukan masalah kebebasan beragama yg sesungguhnya. Waspadalah!!!
rezaramagt_,Ibadah di ruko rumah aula dilarang. Giliran mau bangun gereja juga dilarang. Emang manusia2 kontol. Aparatnya jg ikutan tolol. Ngomong doang suruh urus izin tp ga ngejamin pembangunan ga akan di larang sm warga2 tai.
Zakir_the_Best,Sebenarnya Pak Anies @aniesbaswedan bukan sosok yang sempurna. Akan tetapi beliau tokoh yang sangat toleran. Hanya gara2 beliau membantu memudahkan izin pembangunan gereja dan rumah ibadah lainnya beliau dibilang BAPAK IDENTITAS.
iccasarifien,@AyaniMel ni berita th 2017 msh elo goreng juga?? Padahal warga merasa izin lingkungan dari pihak gereja kepada warga bukanlah untuk pembangunan rumah ibadah. Namun utk gedung serba guna. Kita jelas menolak pembangunan gereja krn tdk menempuh jalur resmi bahkan mengelabui kami 
lk2fhui,[DIRUT V: Problematika Eksistensi Izin Pembangunan Rumah Ibadah: Studi Kasus Kebijakan SKB Menteri] Rumah ibadah adalah tempat dimana umat beragama menjalankan ibdah menurut kepercayaan agamanya masing-masing. https://t.co/mKP9SylnHF
fadli_thekop,@tatakujiyati Ada beberapa yg sy ingat kebijakan ttg bantuan operasional tempat ibadah (BOTI) untuk semua agama pembangunan tempat kremasi bagi umat Khong Hucu di Cilincing izin pembangunan rumah ibadah bagi umat Hindu Tamil.
Simanjunta9Nico,Eks Komnas HAM: Anies Beri Keadilan untuk Umat Beragama saat Jadi Gubernur. Pembangunan rumah ibadah di era Mas Anies itu kan justru izin pembangunan yang paling banyak yang dilakukan terhadap rumah-rumah ibadah non-Muslim. https://t.co/EwGB26bY7I
mnwishful,@KellermanFox @aniesbaswedan konservatif gimana? di jakarta anies merilis 31 izin pembangunan gereja lho termasuk juga rumah ibadah hindu
tigor_na70,@cania_citta Bisa dimulai dari penghilangan pelarangan pembangunan rumah ibadah non-muslim dengan dalih tidak ada izin warga sekitar.
agama_nusantara,Walikota lubuklinggau : Pembangunan Rumah Ibadah (Vihara) di Kayu Ara Sudah Kantongi Izin https://t.co/mn13Dr7tNm
Hum4n7,@abu_waras Iya.. Iya ntar 100 - 200thn lagi yah. Sama spt Ketika nanti non islam jd presiden atau jd gubernur DKI atau ketika izin pembangunan rumah ibadah non islam ga dipersulit..
DharmaSayoga, Merespons hal itu Gus Yaqut pembangunan gereja di Kota Cilegon merupakan hak setiap pemeluk agama. Dia menyebut pemerintah tak berhak menolak pembangunan gereja jika telah memenuhi syarat atau izin pendirian rumah ibadah. 
wahidtoyib,@NdrewsTjan harusnya pembangunan rumah ibadah ga perlu izin. Yang penting punya tanah aja sampe SKB 2 menteri muncul
Tsubasa0zorro,@JUST_OGA Kebijakan pembangunan rumah ibadah itu btuh persyaratan. Silahkan baca Permenag No. 9 Tahun 2006 dan Permendagri No. 8 Tahun 2006 dimana salah satu pasal itu memuat aturan klo sdh mendpt perstjuan masy dan forum rukun beragama hrus mengajukan izin IMB ke Bupati/Walkot..
qusukacumicumi,@ignatiusyp31 @Miduk17 Penolakan pembangunan rumah ibadah kerap terjadi baik thdp gereja maupun mesjid dgn berbagai dalih yg melatarinya. Salah satunya terkait persyaratan izin dll..bedanya saat kalian yg bermasalah dgn syarat perizinan kalian dramatisasi seolah2 kalian terzalimi!
ChangeOrg_ID,@Miduk17 Aidul Fitriyana sampai bikin petisinya lho. Aidul bilang kalau penolakan ini sama aja dgn perampasan hak beribadah warga Indonesia. Kalau kamu setuju sama Aidul yuk bantu desak Pemkot Cilegon kasih izin pembangunan rumah ibadah lewat petisi https://t.co/FfGdkrSiDR
BenyaminSidabu3,@WagimanDeep212_ @LaingenLisa @Kemenag_RI Urusan apa mui dengan mencampuri izin pembangunan Rumah Ibadah...??? Makanya Menag jangan pernah lagi tunduk dgn LSM seperti mui ini...yg beginian adalah tugasmu...jadi kacau urusan perizinan klu begini terus
ChangeOrg_ID,@ruliemaulana Aidul Fitriyana baru aja bikin petisi nih kak dia butuh bantuan teman-teman untuk sama-sama desak Pemkot Cilegon supaya berikan izin pembangunan rumah ibadah di sana. Dukung pakai satu klik di sini yaa: https://t.co/LIqN3eNYAO
UstadzMiftah,Negara kita adalah negara kebhinekaan harus tetap tegak dalam menjaga toleransi. Sudah seharusnya izin pembangunan rumah ibadah di Cilegon dan lainnya diberikan. Karena negara ini milik semua umat beragama sesuai UUD '45. Salam Kebhinekaan.
jambur28,@detikcom Walikota dan wakilnya sama sama pendukung intoleransi membangun rumah ibadah menjadi hak dasar pemeluknya terlalu banyak pemimpin daerah yg munafik dan barbar terhadap pemberian izin pendirian rumah ibadah khususnya izin pembangunan Gereja.
_Haris_Srg,@BonnieTriyana Harusnya jangan ada penolakan untuk pembangunan rumah ibadah apapun. Suruh saja mengikuti prosedur yg ada SKB 3 Menteri dan IMB. Bila izin sudah ada jangan di halang halangi.
_mollucan_,@nusantara_one Tentu tidak perlu kristen tidak butuh ziarah untuk memenuhi syarat ibadah... Cukup jangan persulit izin pembangunan rumah ibadah https://t.co/giG8Nmmh9V
antaranews,FKUB: Pembangunan tiga rumah ibadah terkendala izin lingkungan https://t.co/wmZQFtjCMv
AmamiMichiChan,@sekboss1 @Rikipanjaitan08 @GUSDURians Wait...... Dalil mana yang melarang memberikan izin pembangunan rumah ibadah agama lain?
recyclebuns,@disanness @sudutsemesta @eLAmaravati Ha? sapa yg belain mbaknya? poinnya intoleransi kan emang ada diskriminasi agama di Indonesia contoh kasusnya pas cari kos atau kontrakan iya kalo cuma ditanya agama ini kan nyampe dilarang. Contoh lain izin sama pembangunan rumah ibadah agama kristen atau katolik.
ElfridaHutabar5,Di negara ini Islam hidup dengan damai Pembangunan masjid nan megah dimana - mana jelas karena menteri agama juga beragama islam.. Untuk agama lain? Izin membangun rumah ibadah sangat susah udah bisa dibangun eh di Bom dibakar Ibadah dirumah? Di protes Islam Phobia apa?
kabarkite,Pembangunan Rumah Ibadah Keluarga di Kayu Ara Sudah KantongiÂ Izin https://t.co/8UEhjzmT0k
SJarrakpos,Pembangunan Rumah Ibadah Keluarga di Kayu Ara Sudah Mengantongi Izin Dari Pemkot Lubuklinggau Dan Rekom KemenagÂ Linggau https://t.co/zBwsj5VdEH
sophieamundsed,@dabeecaddaz Sekilas info pembangunan gereja di cilegon masih sulit karena izin membangun rumah ibadah buat non muslim hanya diizinkan di kota serang
hazelnudeice,membangun TC sama susahnya kyk membangun gereja. yg satu kadang dipersulit izin pembangunan rumah ibadah yg satunya terkendala ruwete wong wong pssi mbek exco jancok angele duh! @PSSI
rndk010,@iluvredvlvet @alialhinduan5 Aparat ya ? Pemerintahan yang tidak memberikan izin pembangunan rumah ibadah minioritas karena ada ketakutan atau tekanan dari mayoritas gimana bung ?
rndk010,@djrestu89 Hahaha berbicara ditentang negara lain lalu apa kabar di negara Indonesia ? Apa kabar sila 1 dalam Pancasila ? Namun masih saja ada yang melarang mengusur bahkan tidak memberikan izin pembangunan ibadah minioritas di negaranya sendiri ? Jangan rumah orang lain anda bersihkan
rndk010,@MrktingPALUGADA @AlifSB @safirawwww Halo bung negara republik ini emang sering terjadi seperti itu. Anda pernah lihat pengusiran saat ibadah gak ? Pernah gak rumah ibadahnya di segel ? Dipersulit izin pembangunan nya ? Soalnya yang berjenggotan bersyubran sering menutup gereja loh.
aisyahasma,@miayamjamur @vrgz101 @Erasace @WA_ynym @OukiDookie @KuroNekoBanser Menolak pembangunan rumah ibadah kynya bukan karena intoleransi tp lbh ke izin pembangunan. Bangun rumah aja mesti izin tetangga sebelah beberapa rumah baru dpt izin kalau ga diizinin sm tetangga gabisa bangun apalagi ini rumah ibadah.
mamora_dr,@tatakujiyati Sudah selesai ya pembangunan Masjid yg di Taman Villa Meruya yg diberi izin Anies memakai Fasos RTH. Pdhl mayoritas warga menolak dgn alasan sudah disediakan lokasi di tempat lain di Perumahan tsb utk rumah ibadah.
haniefsanjani_,@abdhy_sejiwa @jecongrats @karimnas_ giliran izin pembangunan rumah ibadah khusus non muslim aja sulitnya minta ampun.
MandaNizami,@_ekokuntadhi Bener dah pak @YaqutCQoumas @Kemenag_RI mohon dievaluasi lagi izin pembangunan musholla and masjid. Banyak doank tapi malah ditelantarkan. Sedangkan yang bener-bener membutuhkan rumah ibadah malah dipersulit lebih parah dipersekusi. 
teluksiregar,@Aryprasetyo85 @YaqutCQoumas @jokowi Apa yang salah terkait pembangunan Rumah Ibadah ( Agama Apapun ).? Persoalan Izin? Apakah semua Rumah Ibadah yg sedang dibangun memiliki IMB. Inilah akibat dari Para Aparatur Negara dan Pejabat daerah Tidak Terbuka dan Transparan.
HilalRaudaFiqry,Permudah aja izin pembangunan rumah ibadah ngga usah pamer solat di gereja kuil atau apapun itu sebagai bentukt toleransi.
DJ_Luvly,@CointreauBlues @seen_ja_ @famajiid Padahal pembangunan rumah ibadah yg itu banyak dimana-mana yang ditolak vs yang dibangun masih lebih banyak yang dibangun. Masalah izin kali ?
Gunadi84380182,Umat islam ga sadar slalu berbuat zholim kepada umat beragama minorits terakait pembangunan rumah ibadah dengan menggeruduk dan mempertanyakan izin pembangunan rumah ibadah. Padahal saat umat Islam mau mendirikan musholah/masjid mereka ga mempertanyakan ijinnya. https://t.co/qRAJNbuFDb
Doublehenry1,@Fan77274801 @papanyaarin @Muslim Ga bisa gitu dong bro.. Aceh kan emang udah terkenal sebagai kiblat. Nah ya memang harus dingertiin kalau sana.. Bawa aja kasus di tempat lain.. Misalnya yg persyaratan lengkap tapi izin tdk keluar.. Atau daerah yg menolak pembangunan rumah ibadah agama tertentu.. 
agathamalona,@sukabandwagon Gak ngerti huhu tp ini sering bgt kejadian kita susah ngurus izin pembangunan gereja terus akhirnya ibadah ya di ruko/ di salah satu rumah jemaat sampe akhirnya nemu tempat yg cocok dan gak diganggu. Susah bgt minoritas mau ibadah dah kayak ngelakuin hal illegal.
Deariy,@Kemenag_RI @YaqutCQoumas @jokowi @DivHumas_Polri @tni_ad Yang terkait coba laporkan aja ke Polisi setau saya sih yang harus ada izin itu Pembangunan Rumah Ibadah bukan Ibadahnya kecuali agamanya ilegal. https://t.co/1bJzhhh0zy
bitovimanovski,Yaqut minta Pemda lebih responsif dan tak diskriminatif dalam menetapkan regulasi izin pembangunan rumah ibadah. https://t.co/Cci7wv8H2j
savanthe,@Nicho_Silalahi Ada SKB tiga menteri. Pembangunan rumah ibadah wajib memperhatikan jumlah umat keagamaannya. Kalau cuma ada 5-10 lalu minta izin bikin rumah ibadah itu namanya tidak sesuai dengan kebutuhan. Jumlah ummat Islam di Papua lebih banyak daripada Hindu di Bekasi tp dilarang
BuruhKasar88,@hambattusauda @AgaMAHAGA @melvinroy @ndreprass @bachrum_achmadi lagian kaum minoritas juga males ribut kek oknum agama tertentu yg rajin demo kalo ada pembangunan rumah ibadah kalo masalah ditanya apa d jawab apa korelasi ny jelas kan? selalu ribut masalah izin mendirikan bangunan padahal cuma terganggu dan berlindung di balik mayoritas
SiantarBenteng, Sebelum izin itu terbit pihak gereja akan menghentikan kegiatan baik pembangunan rumah ibadah ataupun kegiatan ibadah di tempat tersebut. Kegiatan ibadah jemaat GPdI akan dilaksanakan di Aula Polsek Bangun serta masyarakat sepakat tidak melaksanakan https://t.co/2aTec0Duch
fwckitweball,soal diskriminasi dalam peraturan bangun rumah ibadah temen pernah cerita kalau gerejanya udh punya tanah kemudian udh izin dan ingin ngebangun tapi tiba-tiba ditentang warga disana sampai dibikin spanduk yg isinya pertentangan warga sekitar terhadap pembangunan gereja
LailaFitria1,Sad tho ketika pembangunan masjid bisa dengan mudah aja minta doa restu dan kita dengan mudahnya juga menyumbang tanpa terlalu banyak mikir. Tapi di sisi lain untuk rumah ibadah agama selain mayoritas jangankan sumbangan dimudahkan izin membangun udah alhamdulillah bgt.
emerson_yuntho,Jika pembangunan Masjid/Mushola tidak mensyaratkan atau bahkan tidak pernah mengajukan adanya Izin Mendirikan Bangunan (IMB) maka seharusnya hal ini juga diperlakukan sama ke semua pemeluk agama ketika ingin dirikan rumah ibadah
PathRpm,@AzzamIzzulhaq Itu mah kerjaan KADRUN. Mana sempat PGI ngurus dukung mui bubar lah ngurus izin pembangunan rumah ibadah aja sulit. Hadehh
,Gak usah kejang2 Kemenag saat itu buat NU Tapi hakekatnya untuk semua umat beragama NU yg dipercaya karna ormas besar dan terkenal MODERAT &amp
miikimiaw,@sukakauajalah @Helmi_Felis Izin jwab klau d islam ya ngerusak rumah ibadah dan melarang org beribadah jelas2 ga boleh krna Allah melarangnya. Kalau menolak pembangunan rumah ibadah ga tau ya krna hrus ada alasan dan bukti2 yg tepat knpa menolak pembangunan rumah ibadah. Cmiiw...
AgusWestBorneo,Pemerintah pasang badan untuk pembangunan rumah ibadah yang dipersulit izin pendiriannya (misalnya)
inminix88,@KatolikNews Pemkab Bekasi seharusnya mencontoh Pemda DKI yang secara express mengeluarkan izin pembangunan rumah ibadah walaupun harus menabrak/melanggar RTRW zona hijau. (Sarkas ya.. jangan ada yg baper).
WahyuEkoPrabow9,@suijare @AnwarNaldi @xvidgmbk terus warga yang berjuang untuk mendapatkan izin pembangunan masjid gak boleh gitu mempunyai rumah ibadah di kompleks? banyak lahan hijau yg diubah menjadi bangunan properti lu gak protes? 
melodyswriting,Wah jadi makin lengkap ya saudara pengalaman umat nasrani di Indonesia : Ibadah di rumah umat dibubarkan Izin bangun gereja dipersulit Pembangunan gereja diganggu Ibadah di gereja diganggu dan diancam Makam dihancurkan Luar biasa sekali ya sangat toleransi
picksenoaji,Sengkarut lahan GKI Yasmin bermula pada 2006 saat Pemkot Bogor mengeluarkan izin mendirikan bangunan (IMB) Nomor 645.8-372/2006 tanggal 19 Juli 2006 untuk pembangunan rumah ibadah atas nama GKI. https://t.co/NPi1YSZaB5
gabutgueparah,@oyooyovuevuewe @GariiMitchell @BleggoD @RiuRizkiUtomo_ judulnya penegak keadilan tp saudara setanah air izin pembangunan rumah ibadah dipersulit malah dibilang playing victim. ketrigger ya?
swowwy,Next permudah izin pembangunan rumah ibadah 
Akunkuopiniku,@negativisme - Susahnya dan disusahkannya izin membangun rumah ibadah non-Islam (Protes pembangunan gereja dan pura yang di jabar salah satunya) - Pemaksaan atribut agama tertentu ke yang berbeda - Rasisme dan intoleransi di sosial media (2)
Rahdioactivee,Masalah minoritas itu bukan hitung hitungan kekayaan bang dan hari libur agama nya bang. Tapi sikap dari masih sulitnya izin pembangunan rumah ibadah agama minoritas masih banyak pemukiman warga yang tidak memperbolehkan adanya agama minoritas.
lim_filbert,MSM Indo emang lebay dikit dikit telorasin dikit dikit telorasin. Hal biasa dilebih-lebihkan tapi mereka kemana waktu kasus umat agama minor dipersekusi atau izin pembangunan rumah ibadah minor gk dikasih-kasih
ANGGRAINISEPT14,@VincentJun3 @detikcom *Jika memenuhi syarat pendirian rumah ibadah maka boleh mendirikan rumah ibadah Yang tidak boleh misalnya ketika warga daerah A sepakat memberikan izin untuk didirikan Klenteng Tiba2 ada warga daerah C yang tidak setuju pembangunan Klenteng di daerah A. Itu namanya intoleran
AzizahMift,@PantekostaGL Pembangunan rmah ibadah (masjid gereja dsb) mmang btuh ttd dari wrga sekitar. Harus berapa ttd gitu. Saya pernah dengar ada warga yg kadang nggak mau ttd. Sehingga sulit dpt izin mendirikan rumah ibadah. Kalau itu masalahnya coba lapor ke Menag. Serius. Coba aja dulu.
si_nayaraa,Sudah cukup sering dan cukup lama kita berkutat pada kasus intoleransi terus. Kita bisa kalau hak beribadah saja dilarang rumah ibadah dibakar dan tidak diberikan izin pembangunan padahal konstitusi sudah mengizinkan kita untuk memilih agama dan kepercayaan masing-masing.
SimbokYatun,Sudah cukup sering dan cukup lama kita berkutat pada kasus intoleransi terus. Kita bisa kalau hak beribadah saja dilarang rumah ibadah dibakar dan tidak diberikan izin pembangunan padahal konstitusi sudah mengizinkan kita untuk memilih agama dan kepercayaan masing-masing.
